卡牌ID,同卡牌ID,普通技能ID,觉醒技能ID,卡牌称号,卡牌名称,稀有度,职业,属性,COST,HP,物攻,魔攻,恢复量,卡牌类别,主效果,详细效果(普通）,详细效果(觉醒）,台词（攻击）,台词（支援）,头像ID
10000013,10000010,11100041,11100042,激情之炎涡,第二型加荷里斯,UR,佣兵,火,3,1154,192,0,0,物理,攻击,敌单体/物理/5681点+物理攻击力130%的火属性伤害，暴击率150%,敌单体/物理/9412点+物理攻击力130%的火属性伤害，暴击率150%,是恶就不要避开这正义的刀剑！,正义不可能不胜利。,10000013
10000021,10000018,11100111,11100112,劫火之魔狼,第二型毕斯克拉乌莉特,UR,佣兵,火,4,923,115,0,115,物理,攻击,敌单体/物理/8700点+物理攻击力150%的火属性伤害，暴击率150%,敌单体/物理/14475点+物理攻击力150%的火属性伤害，暴击率150%,牙跟锤子，选哪个？,就交给本人狼吧！,10000021
10000025,10000022,12100041,12100042,幻兽猎人,第二型佩里诺亚,UR,富豪,火,2,923,115,115,0,物理,攻击/抽卡,敌单体/物理/2930点火属性伤害，暴击率150%,敌单体/物理/4830点火属性伤害，暴击率150%，己方全体/抽卡+1,看起来好像不动一样呢！,别发呆了快起来！,10000025
10000033,10000030,13200141,13200142,剑圣之召唤姬,支援型丽奈特,UR,盗贼,风,3,1154,0,192,0,魔法,攻击,敌单体/魔法/5681点+魔法攻击力130%的风属性伤害，暴击率150%,敌单体/魔法/9412点+魔法攻击力130%的风属性伤害，暴击率150%,这一击献给莉奥妮丝大人！,为了王工作啊！,10000033
10000037,10000034,14300121,14300122,混沌的幻术姬,支援型奥尔特莉特,UR,歌姬,光,4,1154,0,0,192,治疗,治疗,自身/恢复3720+治疗量的150%点HP,己方全体/恢复6090+治疗量的150%点HP,钱买不来命啊！,请用钱来报恩。,10000037
10000041,10000038,14200041,14200042,慈爱之仆人,支援型布兰克韦恩,UR,歌姬,冰,3,1154,0,192,0,魔法,攻击,敌单体/魔法/5681点+魔法攻击力130%的冰属性伤害，暴击率150%,敌单体/魔法/9412点+魔法攻击力130%的冰属性伤害，暴击率150%,就算痛也请忍住！,请站起来，为了大家！,10000041
10000045,10000042,11100211,11100212,黎明之谋略家,第二型亚格拉文,UR,佣兵,风,4,923,115,0,115,物理,攻击,敌单体/物理/8700点+物理攻击力150%的风属性伤害，暴击率150%,敌单体/物理/14475点+物理攻击力150%的风属性伤害，暴击率150%,知己知彼方能百战百胜！,让我们齐心协力吧，亚瑟！,10000045
10000049,10000046,12100081,12100082,极光之剑王,第二型吉夫雷斯,UR,富豪,冰,2,923,115,115,0,物理,攻击/抽卡,敌单体/物理/2930点冰属性伤害，暴击率150%,敌单体/物理/4830点冰属性伤害，暴击率150%，己方全体/抽卡+1,将这招献给朋友。,看来轮到我出马了。,10000049
10000053,10000052,14400101,14400102,烈火之白鸟姬,制压型罗恩格林,MR,歌姬,冰,5,2094,0,349,0,防御,抽卡/物防↑,自身/2回合/提升2000点物理防御,己方全体/2回合/提升3912点物理防御，自身/抽卡+1,抱歉，我不懂得控制力度。,嘛别这么急着去死嘛。,10000053
10000057,10000056,11100391,11100392,天衣无缝,制压型珀西瓦尔,MR,佣兵,风,4,4188,0,0,0,物理,攻击,敌单体/物理/10485点+物理攻击力150%的风属性伤害，暴击率150%,敌单体/物理/21042点+物理攻击力150%的风属性伤害，暴击率500%,快被我打败吧！,没人玩好无聊啊。,10000057
10000059,10000058,13400071,13400072,沉默之骑士,第二型艾力克,UR,盗贼,风,3,1269,0,212,0,支援,魔攻↑/抽卡,自身/1回合/提升魔法攻击7230,自身/1回合/提升魔法攻击14460，自身/抽卡+1,唔！（不会放跑你的！）,唔。（这点事，小菜一碟）,10000059
10000064,10000063,14300161,14300162,连理之魔法姬,制压型艾妮多,MR,歌姬,光,5,2094,0,0,349,治疗,治疗,自身/恢复9018+治疗量的180%点HP,己方全体/恢复18122+治疗量的180%点HP,唔！（打飞你！）,唔。（请借我力量）,10000064
10000067,10000065,13600061,13600062,策谋之典狱姬,第二型梅利甘斯,UR,盗贼,暗,2,923,115,0,115,弱化,魔防↓,敌单体/3回合/降低3390点魔法防御,敌单体/3回合/降低5610点魔法防御,我已经看到3步以后了。,好了，接下来才是关键。,10000067
10000071,10000068,14200141,14200142,倾国之淑女,特殊型罗艾娜,UR,歌姬,暗,5,923,0,115,115,魔法,攻击,敌单体/魔法/7668点+魔法攻击力180%的暗属性伤害，暴击率150%,敌全体/魔法/12708点+魔法攻击力180%的暗属性伤害，暴击率150%,人家可不想劳而无功。,尽管为我争取时间吧。,10000071
10000074,10000072,13600031,13600032,魔学的大教授,第二型伯纳德,UR,盗贼,风,2,923,0,115,115,弱化,魔攻↓,敌单体/3回合/降低860点魔法攻击,敌单体/3回合/降低1360点魔法攻击,让我们聪明地战斗吧。,你们待会给我接受补习。,10000074
10000083,10000081,12500051,12500052,魔性之声援姬,支援型洛蒂涅,UR,富豪,冰,4,923,115,0,115,防御,抽卡/物防↑,自身/2回合/提升1000点物理防御，自身/抽卡+1,己方全体/2回合/提升1660点物理防御，己方全体/抽卡+1,不会让你们为所欲为的。,我不会再放开重要的东西了！,10000083
10000088,10000087,13600081,13600082,秘恋之骑士,支援型金发伊索德,UR,盗贼,暗,2,1269,0,212,0,弱化,中毒,敌单体/8回合/每回合510+50%魔法攻击的中毒伤害,敌单体/8回合/每回合1008+50%魔法攻击的中毒伤害,能不能把路让出来啊？,偶尔也治愈治愈你吧。,10000088
10000092,10000090,12100201,12100202,暴风三角关系,第二型崔斯坦,UR,富豪,暗,3,1154,192,0,0,物理,攻击/抽卡,敌单体/物理/5681点+物理攻击力130%的暗属性伤害，暴击率150%,敌单体/物理/9412点+物理攻击力130%的暗属性伤害，暴击率150%，己方全体/抽卡+1,就算是杂鱼我也不会手下留情的！,有我在，别怕。,10000092
10000095,10000093,11400051,11400052,赤热之剑姬,支援型依缇尔,UR,佣兵,火,2,923,115,0,115,支援,物攻↑/抽卡,自身/1回合/提升物理攻击4820,自身/1回合/提升物理攻击8020，自身/抽卡+1,铠甲跟我都很强哦！,既然是你的请求，那就没办法了！,10000095
10000098,10000096,13400051,13400052,薄冰之魔术师,支援型格妮妲,UR,盗贼,风,2,923,0,115,115,支援,魔攻↑/抽卡,自身/1回合/提升魔法攻击4820,自身/1回合/提升魔法攻击8020，自身/抽卡+1,会发生什么好期待啊。,装死的魔法如何？,10000098
10000101,10000099,11100441,11100442,悲恋少女,支援型阿斯特拉艾琳,MR,佣兵,风,5,1904,317,0,0,物理,魔攻↓/攻击,敌单体/物理/15804点+物理攻击力180%的风属性伤害，暴击率150%,敌单体/物理/26262点+物理攻击力180%的风属性伤害，暴击率150%，3回合/降低1790点魔法攻击,不许你伤害大家！,太好了，赶上了！,10000101
10000112,10000111,14300141,14300142,未知的遭遇,特异型小灰人,UR,歌姬,光,3,1269,0,0,212,治疗,延迟奶,自身/恢复5681+治疗量的130%点HP,己方1人/5回合/每回合恢复HP3760+治疗量的130%,激光枪还有一把哦。,不能输。,10000112
10000116,10000114,12600031,12600032,雾暗之英雄王,特异型迪特里希,UR,富豪,火,2,923,115,0,115,弱化,物攻↓/抽卡,敌单体/3回合/降低860点物理攻击，自身/抽卡+1,敌单体/3回合/降低1360点物理攻击，己方全体/抽卡+1,别就因为长得壮而得意忘形！,骑士们啊，为了我和王站起来吧！,10000116
10000130,10000129,11100331,11100332,充满谜团骑士,支援型奥尔温,UR,佣兵,冰,4,1269,212,0,0,物理,攻击,敌单体/物理/8700点+物理攻击力150%的冰属性伤害，暴击率150%,敌单体/物理/17370点+物理攻击力150%的冰属性伤害，暴击率150%,再见了。,可以听我的请求吗？,10000130
10000134,10000133,12100221,12100222,统帅之骑士,第二型马尔科,UR,富豪,火,4,1269,212,0,0,物理,攻击/抽卡,敌单体/物理/8700点+物理攻击力150%的火属性伤害，暴击率150%，自身/抽卡+1,敌单体/物理/17370点+物理攻击力150%的火属性伤害，暴击率150%，自身/抽卡+2,别乱动小心我手滑咯？,这边就全交给我吧！,10000134
10000142,10000141,12100341,12100342,魔枪发动,复制型库丘林,MR,富豪,冰,4,0,698,0,0,物理,攻击/抽卡/魔防↑,敌单体/物理/10485点+物理攻击力150%的冰属性伤害，暴击率150%,敌单体/物理/21042点+物理攻击力150%的冰属性伤害，暴击率150%，己方全体/2回合/提升1536点魔法防御，己方全体/抽卡+1,阿尔斯特，至高无上！,放弃就只有死路一条！,10000142
10000152,10000151,11100311,11100312,苍红之劫火,虚无型永恒烈焰,MR,佣兵,火,5,2094,349,0,0,物理,攻击,敌单体/物理/11826点+物理攻击力180%的火属性伤害，暴击率150%,敌全体/物理/23608点+物理攻击力180%的火属性伤害，暴击率150%,全部烧掉，熔掉，消灭掉。,我也是亚瑟的同伴，所以。,10000152
10000155,10000153,14300051,14300052,光芒之魔导姬,支援型艾文,UR,歌姬,光,2,1154,0,0,192,治疗,治疗,自身/恢复2930点HP,己方1人/恢复4830点HP,哇呀啊！　咳咳…。,加油哦！　…呜，说出来了。,10000155
10000158,10000156,14300081,14300082,抑制之骑士,制御型贝德维尔,UR,歌姬,光,3,923,0,115,115,治疗,治疗,自身/恢复5681+治疗量的130%点HP,己方1人/恢复9412+治疗量的130%点HP,送你超厉害的一击！,全力封住敌人的力量！,10000158
10000165,10000164,12100281,12100282,神明之白鸟,制压型戈特弗里德,MR,富豪,暗,3,2094,349,0,0,物理,攻击/抽卡/物防↓,敌单体/物理/6838点+物理攻击力130%的暗属性伤害，暴击率150%,敌单体/物理/13697点+物理攻击力130%的暗属性伤害，暴击率150%，1回合/降低6350点物理防御，己方全体/抽卡+1,来吧。看我全都反击回去！,防守就交给我吧，你专心进攻！,10000165
