#ID,メイン名,サブ名,説明,スキル効果値表示パラメータ番号,スキル効果値表示機能番号,スキル効果値表示タイプ,ボイス番号,分類,種類,属性,ジョブタイプ,物理or魔法,コスト,優先度,,スキルランク,ヘイト倍率,ターゲット,発動タイミング,維持ターン,条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,属性デッキコンボ,機能,,,,,,,,
#,（P9/E12文字）,（14文字）,,,,,,,,,,,,PvE,PvP,,,,,,,,,,,,一枚ごとの倍率上昇,発動条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,優先度,機能ID,
1,何もしない,何もしない,何もしない,1,0,NULL,,,ATTACK,NULL,NULL,PHYSICS,0,99,99,RANK1,0,SELF,,,,,,,,,,,,,,,,,1,
#エネミースキル　（エネミースキル名全角１２文字まで）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3Dチームバトルエネミースキル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#１等級アイスドラゴン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#中級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30101111,普通攻击（魔法）,本体,【通常行動】通常攻撃（魔法）：威力　1000,,0,,,,SORCERY,ICE,,MAGIC,,52,52,RANK1,,USER_ONE,,,,,,,,,,,,,,,,,30101111,
30101112,全体攻击（魔法）,本体,【スキル】全体攻撃（魔法）：威力　1500,,0,,,,SORCERY,ICE,,MAGIC,,51,51,RANK1,,USER_ALL,,,,,,,,,,,,,,,,,30101112,
30101121,普通攻击（物理）,部位①,【通常行動】通常攻撃（魔法）：威力　1000,,0,,,,ATTACK,ICE,,PHYSICS,,51,51,RANK1,,USER_ONE,,,,,,,,,,,,,,,,,30101121,
#上級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30101211,普通攻击（魔法）,本体,【通常行動】通常攻撃（魔法）：威力　1000,,0,,,,SORCERY,ICE,,MAGIC,,52,52,RANK1,,USER_ONE,,,,,,,,,,,,,,,,,30101211,
30101212,全体攻击（魔法）,本体,【スキル】全体攻撃（魔法）：威力　1500,,0,,,,SORCERY,ICE,,MAGIC,,51,51,RANK1,,USER_ALL,,,,,,,,,,,,,,,,,30101212,
30101221,全体INTUP,部位②,【スキル】全体INTUP：威力　MND*1.0/3T,,0,,,,SUPPORT,NULL,,MAGIC,,31,31,RANK1,,ENEMY_ALL,,,,,,,,,,,,,,,,,30101221,
30101231,普通攻击（物理）,部位①,【通常行動】通常攻撃（魔法）：威力　1000,,0,,,,ATTACK,ICE,,PHYSICS,,51,51,RANK1,,USER_ONE,,,,,,,,,,,,,,,,,30101231,
30101232,强攻击（物理）,部位①,【スキル】単体攻撃（物理）：威力　1800,,0,,,,ATTACK,ICE,,PHYSICS,,51,51,RANK1,,USER_ONE,,,,,,,,,,,,,,,,,30101232,
#超級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30101311,普通攻击（魔法）,本体,【通常行動】通常攻撃（魔法）：威力　1000,,0,,,,SORCERY,ICE,,MAGIC,,52,52,RANK1,,USER_ONE,,,,,,,,,,,,,,,,,30101311,
30101312,全体攻击（魔法）,本体,【スキル】全体攻撃（魔法）：威力　1500,,0,,,,SORCERY,ICE,,MAGIC,,51,51,RANK1,,USER_ALL,,,,,,,,,,,,,,,,,30101312,
30101321,全体INTUP,部位②,【スキル】全体INTUP：威力　MND*1.0/3T,,0,,,,SUPPORT,NULL,,MAGIC,,31,31,RANK1,,ENEMY_ALL,,,,,,,,,,,,,,,,,30101321,
